Demographics Split,US Ranking,University Name,School Name,Program Name,Program Category,Certificate,City,State,Length in Days (put average number of days if different lengths are listed),Modality,Location,Total Cost (if cost per credit is not listed. Put the latest cost),Total Online Format Cost (if cost per credit is not listed and online vs in person cost is different),Target Demographics (keep consistencies as much as possible),Unique Value
TECHNICAL OR FUNCTIONAL PROFESSIONALS,9,UC Berkeley,Hass,Business Analytics for Leaders : From Data to Decisions,"Entrepreneurship and Innovation, Strategy and management",Yes,Berkeley,CA,40,Online,Online,,2496,"MID- TO SENIOR-LEVEL MANAGERS, SENIOR EXECUTIVES , BUSINESS HEADS,CONSULTANTS, DATA ANALYTICS , TECHNOLOGY PROFESSIONALS",213
TECHNICAL OR FUNCTIONAL PROFESSIONALS,9,UC Berkeley,Hass,Professional Certificate in Machine Learning and Artificial Intelligence,Entrepreneurship and Innovation,Yes,Berkeley,CA,120,Online,Online,,7268,"IT , ENGINEERING PROFESSIONALS, DATA , BUSINESS ANALYSTS, RECENT SCIENCE, TECHNOLOGY, ENGINEERING, , MATHEMATICS (STEM) GRADUATES",222
WEB DESIGNERS,12,Cornell University,SC Johnson,PYTHON PROGRAMMING Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,90,Online,Online,,3750,"CURRENT , ASPIRING PROGRAMMERS, SOFTWARE DEVELOPERS , ENGINEERS, CURRENT , ASPIRING WEB DEVELOPERS, SCIENTISTS INTERESTED IN LEARNING PROGRAMMING",266
WEB DESIGNERS,12,Cornell University,SC Johnson,WEB DESIGN AND DEVELOPMENT,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"ASPIRING WEB DEVELOPERS, WEB DESIGNERS, , UX DESIGNERS, BACKEND PROGRAMMERS WHO NEED FRONT-END SKILLS TO BECOME FULL-STACK DEVELOPERS, ENTREPRENEURS",252
WEB DESIGNERS,12,Cornell University,SC Johnson,WEB DESIGN AND DEVELOPMENT,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"ASPIRING WEB DEVELOPERS, WEB DESIGNERS, , UX DESIGNERS, BACKEND PROGRAMMERS WHO NEED FRONT-END SKILLS TO BECOME FULL-STACK DEVELOPERS, ENTREPRENEURS",252
WEB DESIGNERS,12,Cornell University,SC Johnson,WEB DESIGN AND DEVELOPMENT,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"ASPIRING WEB DEVELOPERS, WEB DESIGNERS, , UX DESIGNERS, BACKEND PROGRAMMERS WHO NEED FRONT-END SKILLS TO BECOME FULL-STACK DEVELOPERS, ENTREPRENEURS",252
WEB DESIGNERS,12,Cornell University,SC Johnson,USER EXPERIENCE DESIGN,Marketing,Yes,Ithaca,NY,100,Online,Online,,3750,"PRODUCT MANAGERS, WEB DESIGNERS, SOFTWARE DEVELOPERS,MARKETING, UI,UX,GRAPHIC DESIGNERS",251
WEB DESIGNERS,12,Cornell University,SC Johnson,CONSUMER BEHAVIOR,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"MARKETING MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS, ENGINEERS, TECH LEADERS, UX , WEB DECELOPERS, ENTREPRENEURS",247
WEB DESIGNERS,9,UC Berkeley,Hass,Communications Excellence,Leadership and Communication,Yes,Berkeley,CA,2,In person,"Berkeley,CA",4000,,"SENIOR LEADERSHIP EXECUTIVES , HIGH-POTENTIAL PROFESSIONALS IN BUSINESS DEVELOPMENT, SALES, , MARKETING TEAMS, WEB DEVELOPERS,ENGINEERS,ENTREPRENEURS,PROFESSIONALS",202
WEB DESIGNERS,12,Cornell University,SC Johnson,DATA PRIVACY STRATEGY,Marketing,Yes,Ithaca,NY,40,Online,Online,,2500,"CMOS, CIOS, CTOS, WEB DEVELOPERS, MARKETING, BR, , PRODUCT MANAGERS,TECH LEADERS, DATA SCIENTIST, CONSULTANT",250
WRITERS,12,Cornell University,SC Johnson,SOCIAL MEDIA MARKETING,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"CONTENT MARKETERS, SOCIAL MEDIA MANAGERS, MARKETING CHANNEL MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS, ACCOUNT EXECUTIVES, BR, MARKETERS, MARKETING COMMUNICATIONS SPECIALISTS, COPYWRITERS, MARKETING CONSULTANTS",236
WRITERS,12,Cornell University,SC Johnson,CONTENT WRITING,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"COPYWRITERS , COPY EDITORS, MARKETERS, WRITERS, SOCIAL MEDIA , CONTENT DEVELOPERS",237
WRITERS,12,Cornell University,SC Johnson,EQUITABLE COMMUNITY CHANGECertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,60,Online,Online,,2500,"ACTIVISTS , COMMUNITY DEVELOPMENT ORGANIZERS, POLICY MAKERS, GRANT WRITERS, EDUCATORS",282
WRITERS,12,Cornell University,SC Johnson,CONTENT WRITING,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"COPYWRITERS , COPY EDITORS, MARKETERS, WRITERS, SOCIAL MEDIA , CONTENT DEVELOPERS",237
,12,Cornell University,SC Johnson,BUSINESS ANALYTICS Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,60,Online,Online,,3900,"MANAGERS , EXECUTIVES, ADMINISTRATIVE , EXECUTIVE ASSISTANTS, INDIVIDUALS INTERESTED IN MOVING INTO AN ANALYST ROLE",271
,12,Cornell University,SC Johnson,FINANCIAL SUCCESS FOR NONPROFITSCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,40,Online,Online,,2600,"CEOS , EXECUTIVE DIRECTORS, LEADERS, ADMINISTRATORS, , NEW BOARD MEMBERS, DECISION-MAKING PROGRAM STAFF",295
,7,University of Michigan--Ann Arbor,Ross,Ascending to the C-Suite: From Theory to Practice,Leadership,,Ann Arbor,MI,4,In person,"Plymouth,MI",8900,,"ATLEAST 15 YEAR EXPERIENCE, SUCCESSOR TO C-SUITE, WOMEN ENTREPRENEURS",160
,7,University of Michigan--Ann Arbor,Ross,Emerging Leaders Program: Becoming a Transformational Leader,Leadership,,Ann Arbor,MI,5,In person,"Ann Arbor,MI",10700,,"ATLEAST 3 YEAR EXPERIENCE, MANAGERS",162
,12,Cornell University,SC Johnson,DATA SCIENCE WITH SQL AND TABLEAU Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,50,Online,Online,,3900,"DATA SCIENTISTS, BUSINESS ANALYSTS, DEVELOPERS, MARKETING ANALYSTS, CAREER STARTERS",262
,4,Columbia University,Columbia Business School,Digital Marketing Intensive,Marketing / Analytics,Yes,New York,NY,,Online,Online,,6950,"EARLY TO MID-LEVEL MARKETING PROFESSIONALS, CAREER SWITCHERS, CONSULTANTS",141
,10,UC Los Angeles,Anderson,Women's Leadership Institute,"Leadership, Management",No,Los Angeles,CA,30,Online,Online,5250,5250,"MID- TO SENIOR-LEVEL LEADERS, TYPICALLY WITH FIVE OR MORE YEARS OF EXPERIENCE MANAGING PEOPLE ,,OR PROJECTS IN A CORPORATE, PUBLIC-SECTOR, ENTREPRENEURIAL, OR NONPROFIT ENVIRONMENT",185
,12,Cornell University,SC Johnson,LABOR RELATIONSCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,60,Online,Online,,3900,"UNION STAFF, STEWARDS , OFFICIALS, HR , OPERATIONS MANAGERS, ATTORNEYS , GENERAL COUNSEL",291
,2,Northwestern University,Kellogg School of Management,Energizing People for Performance,Leadership / Governance,,Evanston,IL,4,In person,"Evanston, IL",9000,,"MIDDLE-, UPPER- , SENIOR-LEVEL EXECUTIVES",30
,3,University of Chicago (Booth),Booth School of Business,Strategic Digital Transformation – Hong Kong,Strategy / Innovation / Technology / Analytics,Yes,Chicago,IL,2,In person,Hong Kong,3200,,"MIDDLE-, UPPER- , SENIOR-LEVEL MANAGERS",87
,3,University of Chicago (Booth),Booth School of Business,Private Wealth Management,Finance / Accounting,Yes,Chicago,IL,5,In person,"Chicago, IL",12500,,WEALTH OWNERS,62
,14,Dartmouth College,Tuck,Advanced Management Program,Management,No,Hanover,NH,12,In person,Tuck School of Business,29000,,"SENIOR EXECUTIVES IN ROLES THAT HAVE STRATEGIC IMPLICATIONS , WHO SEEK TO FOSTER AN ENTERPRISE-WIDE MINDSET, ACHIEVE GROWTH, , DEVELOP A VISIONARY APPROACH TO LEADERSHIP",325
,15,Emory University,Goizueta,Goizueta Executive Women's Leadership Program,"LEADERSHIP, Innovation",Yes,Atlanta,GA,9,Hybrid,Campus,7200,,"WOMEN AT THE MID-TO-SENIOR LEVEL , ABOVE, WITH 7+ YEARS OF EXPERIENCE (10+ PREFERRED), WITH THE POTENTIAL , DESIRE TO EXP, THEIR REPUTATION AS A STRATEGIC LEADER, ELEVATE THE LEADERSHIP OF THEIR TEAMS, , BUILD INFLUENCE , IMPACT ACROSS THEIR ORGANIZATION , INDUSTRY.",340
,15,Emory University,Goizueta,Goizueta Executive Women's Leadership Program,"LEADERSHIP, Innovation",Yes,Atlanta,GA,9,Hybrid,Campus,7200,,"WOMEN AT THE MID-TO-SENIOR LEVEL , ABOVE, WITH 7+ YEARS OF EXPERIENCE (10+ PREFERRED), WITH THE POTENTIAL , DESIRE TO EXP, THEIR REPUTATION AS A STRATEGIC LEADER, ELEVATE THE LEADERSHIP OF THEIR TEAMS, , BUILD INFLUENCE , IMPACT ACROSS THEIR ORGANIZATION , INDUSTRY.",340
,15,Emory University,Goizueta,Goizueta Executive Women's Leadership Program,"LEADERSHIP, Innovation",Yes,Atlanta,GA,9,Hybrid,Campus,7200,,"WOMEN AT THE MID-TO-SENIOR LEVEL , ABOVE, WITH 7+ YEARS OF EXPERIENCE (10+ PREFERRED), WITH THE POTENTIAL , DESIRE TO EXP, THEIR REPUTATION AS A STRATEGIC LEADER, ELEVATE THE LEADERSHIP OF THEIR TEAMS, , BUILD INFLUENCE , IMPACT ACROSS THEIR ORGANIZATION , INDUSTRY.",340
,10,UC Los Angeles,Anderson,Women's Leadership Institute,"Leadership, Management",No,Los Angeles,CA,30,Online,Online,5250,5250,"MID- TO SENIOR-LEVEL LEADERS, TYPICALLY WITH FIVE OR MORE YEARS OF EXPERIENCE MANAGING PEOPLE ,,OR PROJECTS IN A CORPORATE, PUBLIC-SECTOR, ENTREPRENEURIAL, OR NONPROFIT ENVIRONMENT",185
,12,Cornell University,SC Johnson,CLIMATE CHANGE LEADERSHIPCourse,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",,Ithaca,NY,80,Online,Online,,,"ORGANIZATIONAL DECISION MAKERS, MANAGERS, RISK , SUPPLY CHAIN MANAGERS, ACTIVISTS",296
,9,UC Berkeley,Hass,Senior Management and Innovation,Entrepreneurship and Innovation,Yes,Berkeley,CA,365,Hybrid,"Berkeley,CA",26000,,"CXOS, DIRECTORS, PRESIDENTS, VICE PRESIDENTS, SENIOR MANAGERS , OTHER BUSINESS LEADERS IN VARIOUS BUSINESS FUNCTIONS",223
,9,UC Berkeley,Hass,Data Science for Leaders,"Entrepreneurship and Innovation, Strategy and management",Yes,Berkeley,CA,3,In person,"Berkeley,CA",4900,,"SENIOR LEADERS, DATA SCIENCE LEADERS, , OTHER DECISION-MAKERS",216
,14,Dartmouth College,Tuck,Digital Excellence Program: A collaboration between Tuck and Google,DIVERSITY & INCLUSION,No,Hanover,NH,3,Online,Online,,,OWNERS OF DIVERSE BUSINESS ENTERPRISES,328
,14,Dartmouth College,Tuck,Leadership & Strategic Impact,LEADERSHIP,No,Hanover,NH,5,In person,Tuck School of Business,14000,,POTENTIAL EXECUTIVES MOTIVATED TO BECOME EVEN BETTER LEADERS,324
,9,UC Berkeley,Hass,NextGen Directors,Leadership and Communication,Yes,Berkeley,CA,2,In person,"Berkeley,CA",7500,,"C SUITE , SENIOR EXECUTIVES OF PRIVATE , PUBLIC COMPANIES, ANY ENTREPRENEUR, LEADER, OR PROFESSIONAL",208
,10,UC Los Angeles,Anderson,Women's Leadership Institute,"Leadership, Management",No,Los Angeles,CA,30,Online,Online,5250,5250,"MID- TO SENIOR-LEVEL LEADERS, TYPICALLY WITH FIVE OR MORE YEARS OF EXPERIENCE MANAGING PEOPLE ,,OR PROJECTS IN A CORPORATE, PUBLIC-SECTOR, ENTREPRENEURIAL, OR NONPROFIT ENVIRONMENT",185
,9,UC Berkeley,Hass,Professional Certificate in Machine Learning and Artificial Intelligence,Entrepreneurship and Innovation,Yes,Berkeley,CA,120,Online,Online,,7268,"IT , ENGINEERING PROFESSIONALS, DATA , BUSINESS ANALYSTS, RECENT SCIENCE, TECHNOLOGY, ENGINEERING, , MATHEMATICS (STEM) GRADUATES",222
,12,Cornell University,SC Johnson,SERVANT LEADERSHIPCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,60,Online,Online,,3750,"INFORMAL OR FORMAL LEADERS, RELIGIOUS , FAITH-BASED LEADERS, HUMANITARIAN, NON-PROFIT, , NGO LEADERS",288
,14,Dartmouth College,Tuck,Next Step: Transition to Business,Business,Yes,Hanover,NH,5,In person / Online,Tuck School of Business,7500,,"SEPARATED,RETIRED LONGER THAN 9 MONTHS WITH A RECENTLY IDENTIFIED CAREER OBJECTIVE",331
,14,Dartmouth College,Tuck,Next Step: Transition to Business,Business,Yes,Hanover,NH,5,In person / Online,Tuck School of Business,7500,,"SEPARATED,RETIRED LONGER THAN 9 MONTHS WITH A RECENTLY IDENTIFIED CAREER OBJECTIVE",331
,13,Arizona State University,W.P. Carey,Strategic Service Institute,Strategy and management,Yes,Tempe,AZ,3,In person,"McCord Hall, Tempe campus",,,"SERVICE FOUNDATIONS , STRATEGIC SERVICES LEADERSHIP",301
,15,Emory University,Goizueta,LEVERAGING AIFOR BUSINESS,DATA SCIENCE & ANALYTICS,Yes,Atlanta,GA,3,In person,Goizueta,2495,,"LEADERS, MANAGERS, SMALL TEAMS, STRATEGIC DECISION MAKERS",334
,12,Cornell University,SC Johnson,SUSTAINABLE PRESERVATIONCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,60,Online,Online,,3750,"ARCHITECTS, STRUCTURAL,CIVIL ENGINEERS, HISTORIC PRESERVATION PLANNERS, MUNICIPAL PLANNERS, PRIVATE SECTOR PLANNERS, REAL ESTATE DEVELOPERS, ENVIRONMENTAL PROFESSIONALS",283
,12,Cornell University,SC Johnson,BIG DATA FOR BIG POLICY PROBLEMSCertificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,160,Online,Online,,3699,"RISING HIGH SCHOOL SENIORS, HIGH SCHOOL STUDENTS INTERESTED IN DATA SCIENCE OR SOCIAL CHANGE, STUDENTS AGED 16 , OLDER",278
,12,Cornell University,SC Johnson,APPLIED STATISTICS Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,70,Online,Online,,3750,"STUDENTS WHO ARE PRE-MBA OR CONSIDERING EARNING AN MBA, ANALYSTS , RESEARCHERS",269
,13,Arizona State University,W.P. Carey,Strategic decision framing in volatile times,Strategy and management,No,Tempe,AZ,2,In person,"McCord Hall, Tempe campus",3400,,"TEAMS FACING UNSTRUCTURED OR HIGH LEVEL OF UNCERTAINTY, INDIVIDUALS LOOKING TO CHANGE THEIR THINKING , APPROACH TO DECISION-MAKING",297
,7,University of Michigan--Ann Arbor,Ross,Becoming Who You Really Are: How to Grow Yourself and Your Organization,Leadership,,Ann Arbor,MI,20,Online,Online,,750,"LEADERS, TEAMS SEEKING RESULTS",161
,12,Cornell University,SC Johnson,PYTHON FOR DATA SCIENCE Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,100,Online,Online,,3900,"DATA ANALYSTS , BUSINESS ANALYSTS, DATABASE MANAGERS, TECHNICAL , SYSTEMS ANALYSTS, PROGRAMMERS INTERESTED IN DATA SCIENCE, MARKETERS",265
,10,UC Los Angeles,Anderson,Postgraduate Program in Management for Professionals,Partner Programs,No,Los Angeles,CA,365,Hybrid,India & online,12000,,"PROFESSIONALS ACROSS INDUSTRIES,A MINIMUM OF 7 YEARS OF WORK EXPERIENCE",195
,10,UC Los Angeles,Anderson,Accelerated Management Program,Partner Programs,Yes,Los Angeles,CA,365,Online,Online,,7000,"PROFESSIONALS ACROSS INDUSTRIES,A MINIMUM OF 7 YEARS OF WORK EXPERIENCE",194
,15,Emory University,Goizueta,Executive Decision Making,LEADERSHIP,Yes,Atlanta,GA,2,In person,Campus,2495,,"PROFESSIONALS WISHING TO STRENGTHEN THEIR UNDERST,ING OF , ABILITIES IN DRIVING STRATEGIC DECISIONS, DECISION MAKERS",346
,15,Emory University,Goizueta,Goizueta Executive Women's Leadership Program,"LEADERSHIP, Innovation",Yes,Atlanta,GA,9,Hybrid,Campus,7200,,"WOMEN AT THE MID-TO-SENIOR LEVEL , ABOVE, WITH 7+ YEARS OF EXPERIENCE (10+ PREFERRED), WITH THE POTENTIAL , DESIRE TO EXP, THEIR REPUTATION AS A STRATEGIC LEADER, ELEVATE THE LEADERSHIP OF THEIR TEAMS, , BUILD INFLUENCE , IMPACT ACROSS THEIR ORGANIZATION , INDUSTRY.",340
,14,Dartmouth College,Tuck,Advanced Management Program,Management,No,Hanover,NH,12,In person,Tuck School of Business,29000,,"SENIOR EXECUTIVES IN ROLES THAT HAVE STRATEGIC IMPLICATIONS , WHO SEEK TO FOSTER AN ENTERPRISE-WIDE MINDSET, ACHIEVE GROWTH, , DEVELOP A VISIONARY APPROACH TO LEADERSHIP",325
,9,UC Berkeley,Hass,Leading Strategy Execution through Culture,Leadership and Communication,Yes,Berkeley,CA,3,In person / Online,"Berkeley,CA",4500,3375,"SENIOR EXECUTIVES, TEAMS, ANYONE TAKING A STRATEGIC SHIFT IN ORGANISATION",206
,13,Arizona State University,W.P. Carey,Strategic decision framing in volatile times,Strategy and management,No,Tempe,AZ,2,In person,"McCord Hall, Tempe campus",3400,,"TEAMS FACING UNSTRUCTURED OR HIGH LEVEL OF UNCERTAINTY, INDIVIDUALS LOOKING TO CHANGE THEIR THINKING , APPROACH TO DECISION-MAKING",297
,7,University of Michigan--Ann Arbor,Ross,Mastering Workplace Relationships: Strategies for Professional Impact,Interpersonal Dynamics,,Ann Arbor,MI,20,Online,Online,,2000,"LEADERS AT ALL LEVELS , FUNCTIONS, EMPLOYEES IN CUSTOMER-FACING, BOUNDARY-SPANNING, , CROSS-FUNCTIONAL ROLES",179
,15,Emory University,Goizueta,Goizueta Executive Women's Leadership Program,"LEADERSHIP, Innovation",Yes,Atlanta,GA,9,Hybrid,Campus,7200,,"WOMEN AT THE MID-TO-SENIOR LEVEL , ABOVE, WITH 7+ YEARS OF EXPERIENCE (10+ PREFERRED), WITH THE POTENTIAL , DESIRE TO EXP, THEIR REPUTATION AS A STRATEGIC LEADER, ELEVATE THE LEADERSHIP OF THEIR TEAMS, , BUILD INFLUENCE , IMPACT ACROSS THEIR ORGANIZATION , INDUSTRY.",340
,9,UC Berkeley,Hass,Corporate Business Model Innovation,Entrepreneurship and Innovation,Yes,Berkeley,CA,3,In person,"Berkeley,CA",5250,,"CHIEF MARKETING OFFICERS (CMOS),BUSINESS STRATEGY , R&D PROFESSIONALS,CORPORATE INNOVATORS",215
,13,Arizona State University,W.P. Carey,Innovation and Growth using the Theory of Constraints,Entrepreneurship and Innovation,No,Tempe,AZ,4,In person,"McCord Hall, Tempe campus",6000,,"SENIOR LEADERS, CHAMPIONS FOR CHANGE, , DECISION MAKERS SEEKING A GUIDED, PRACTICAL PROCESS FOR BUSINESS INNOVATION.",304
